lat_rad,lon_rad,u,v,k
0.08839086828103354,-1.301829050654055,260481592,7647763891,0
0.08839069200277909,-1.3018146857216464,260481592,260481606,0
0.08837960916202893,-1.3018223695336781,260481592,7647777117,0
0.08839618019061198,-1.3018246646416447,260481606,7647736162,0
0.0883930010733795,-1.3018019919419968,260481606,7647736170,0
0.08839069200277909,-1.3018146857216464,260481606,260481592,0
0.08826395055582241,-1.3016221985944316,260481759,2204146059,0
0.08832543239671778,-1.3015784702426876,260481759,260481801,0
0.08827140485705766,-1.301632732529132,260481759,7649823201,0
0.088376274710493,-1.3015423445451653,260481801,7632994442,0
0.08839575433027451,-1.3015409500270927,260481801,260481808,0
0.08832543239671778,-1.3015784702426876,260481801,260481759,0
0.08850159807743245,-1.301476248926392,260481808,7632877475,0
0.08839575433027451,-1.3015409500270927,260481808,260481801,0
0.08841212551865821,-1.301542923121812,260481808,9599483840,0
0.08836664398368049,-1.3013205227965472,260481959,9602224145,0
0.08852519492891943,-1.3013504805004932,260481959,7632970048,0
0.08850195586992911,-1.3013158252428658,260481959,7632959340,0
0.08814241629868903,-1.3012283921013224,260482042,2204145756,0
0.08800293656618664,-1.3012407787030238,260482042,260482146,0
0.08819942398804692,-1.3012999924885562,260482042,9602224145,0
0.08781790723086573,-1.3011858479554756,260482146,10180700372,0
0.08800293656618664,-1.3012407787030238,260482146,260482042,0
0.08790690244208953,-1.3011707875093603,260482146,8478593558,0
0.08753913800674942,-1.3009894765980108,260482473,260482836,0
0.08774327869737969,-1.3011377021753951,260482473,10180700372,0
0.08779735423359424,-1.301052629591665,260482473,2204145669,0
0.08741789172894264,-1.3008261425779568,260482836,260482887,0
0.08753913800674942,-1.3009894765980108,260482836,260482473,0
0.08735022444117821,-1.3008546760932331,260482836,9515755275,0
0.08758716074111805,-1.3007676539767288,260482887,260483045,0
0.08741789172894264,-1.3008261425779568,260482887,260482836,0
0.08743631716985593,-1.3007244806396867,260482887,7671820936,0
0.08766768325148806,-1.300654593293114,260483045,7671820846,0
0.08758716074111805,-1.3007676539767288,260483045,260482887,0
0.08776329064258306,-1.3007622635273337,260483045,2204145488,0
0.0876664152697865,-1.300470365936584,260483262,260483266,0
0.08766297348050156,-1.30048382678844,260483262,7671802658,0
0.08769139616737028,-1.3004775793823826,260483262,7671802598,0
0.08768488259860184,-1.30045107830302,260483266,260483283,0
0.0876664152697865,-1.300470365936584,260483266,260483262,0
0.08765113927550841,-1.3004657757206513,260483266,7671802655,0
0.08771416835078569,-1.3004435061920603,260483283,260483288,0
0.08768488259860184,-1.30045107830302,260483283,260483266,0
0.08768787147494589,-1.3004370685451143,260483283,7671747289,0
0.0877350712865722,-1.3004373268538436,260483288,260483300,0
0.08771416835078569,-1.3004435061920603,260483288,260483283,0
0.08772401898908394,-1.3004557714933789,260483288,9676953711,0
0.08776159418255014,-1.3004142248031998,260483300,7672047068,0
0.0877350712865722,-1.3004373268538436,260483300,260483288,0
0.08775950764142937,-1.3004373277265084,260483300,7672047071,0
0.08847472611560413,-1.3020084190139467,260538338,4008722436,0
0.08847900391760076,-1.3020132823739077,260538338,260538389,0
0.08847052249010069,-1.3020109645766607,260538338,263299602,0
0.08845169300546556,-1.3019951536389671,260538344,5834902628,0
0.08844350130262131,-1.3019869130669037,260538344,4077206810,0
0.08845661047063304,-1.3020035085300965,260538344,263299602,0
0.0884261300405762,-1.3019722880804367,260538349,4077206809,0
0.08841838776001436,-1.3019672720041664,260538349,260538423,0
0.08842289594547226,-1.301977133987105,260538349,5834902641,0
0.088417623305802,-1.301908915175297,260538366,260538372,0
0.08841976220680031,-1.3018989371279632,260538366,260538368,0
0.08841327045464752,-1.3019006911838615,260538366,4077206808,0
0.08840893505678558,-1.3018889442453307,260538366,4077206797,0
0.08842584729723739,-1.3018990706456508,260538368,7647739945,0
0.08841976220680031,-1.3018989371279632,260538368,260538366,0
0.0884239309257187,-1.3018936374356895,260538368,7647724157,0
0.0884337963993156,-1.3018935013000077,260538368,260538369,0
0.08844622401625442,-1.3018973069904418,260538369,260538370,0
0.08844445250706365,-1.301888640558041,260538369,7647739957,0
0.08844097232053519,-1.3018854649314668,260538369,2204146197,0
0.0884337963993156,-1.3018935013000077,260538369,260538368,0
0.0884504590576844,-1.3019142035229305,260538370,260538417,0
0.08844622401625442,-1.3018973069904418,260538370,260538369,0
0.088446397676515,-1.3019064778229965,260538370,5834902676,0
0.08845519762660356,-1.301897546100549,260538370,7647739953,0
0.08843336355766111,-1.3019187378883268,260538371,260538388,0
0.0884259851782483,-1.3019150334269896,260538371,260538372,0
0.08843693711930457,-1.3019104702636604,260538371,5834902676,0
0.088417623305802,-1.301908915175297,260538372,260538366,0
0.08842315949018932,-1.3019229074799101,260538372,260538387,0
0.08841431154354633,-1.3019195957176546,260538372,4077206802,0
0.0884259851782483,-1.3019150334269896,260538372,260538371,0
0.08844706264696,-1.3019789308035696,260538383,4077206813,0
0.0884512383471954,-1.3019877839862006,260538383,5834902628,0
0.08845100883639878,-1.3019807956878755,260538383,260538420,0
0.08843946871938459,-1.3019599416213081,260538384,260538385,0
0.08844416627306632,-1.3019714573037127,260538384,4077206813,0
0.08844619260032789,-1.3019651043052356,260538384,260538421,0
0.0884358305805588,-1.301969349818641,260538384,9628754158,0
0.08843290715406171,-1.301945874267537,260538385,260538386,0
0.08843946871938459,-1.3019599416213081,260538385,260538384,0
0.08842926814257131,-1.301955851442206,260538385,260538422,0
0.08842741896622881,-1.3019336342734926,260538386,260538387,0
0.08843290715406171,-1.301945874267537,260538386,260538385,0
